xpath,endpoint_type,schema_defined_type,container,endpoint
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/DATA_MODIFICATION/DATA_MODIFICATION_REQUEST/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/SERVICING_TRANSFER/SERVICING_TRANSFER_REQUEST/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_REQUEST/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_RESPONSE/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/DATA_MODIFICATION/DATA_MODIFICATION_REQUEST/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/SERVICING_TRANSFER/SERVICING_TRANSFER_REQUEST/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_REQUEST/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
/MESSAGE/DOCUMENT_SETS/DOCUMENT_SET/DOCUMENTS/DOCUMENT/DEAL_SETS/DEAL_SET_SERVICES/DEAL_SET_SERVICE/WORKOUT_EVALUATION/WORKOUT_EVALUATION_RESPONSE/DEAL_SET/DEALS/DEAL/ASSETS,Container,ASSETS,DEAL,ASSETS
