xpath,endpoint_type,schema_defined_type,container,endpoint
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/LOANS/LOAN/CLOSING_INFORMATION/CLOSING_INSTRUCTION/POST_CLOSING/DOCUMENT_RETURN_INSTRUCTIONS/DOCUMENT_RETURN_INSTRUCTION/PARTIES,Container,PARTIES,DOCUMENT_RETURN_INSTRUCTION,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/PARTIES,Container,PARTIES,DEAL,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/AUTOMATED_UNDERWRITING_SYSTEM/AUTOMATED_UNDERWRITING_SYSTEM_RESPONSE/LOANS/LOAN/CLOSING_INFORMATION/CLOSING_INSTRUCTION/POST_CLOSING/DOCUMENT_RETURN_INSTRUCTIONS/DOCUMENT_RETURN_INSTRUCTION/PARTIES,Container,PARTIES,DOCUMENT_RETURN_INSTRUCTION,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/CLOSING/CLOSING_REQUEST/CLOSING_INSTRUCTION/POST_CLOSING/DOCUMENT_RETURN_INSTRUCTIONS/DOCUMENT_RETURN_INSTRUCTION/PARTIES,Container,PARTIES,DOCUMENT_RETURN_INSTRUCTION,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/CREDIT/CREDIT_RESPONSE/LOANS/LOAN/CLOSING_INFORMATION/CLOSING_INSTRUCTION/POST_CLOSING/DOCUMENT_RETURN_INSTRUCTIONS/DOCUMENT_RETURN_INSTRUCTION/PARTIES,Container,PARTIES,DOCUMENT_RETURN_INSTRUCTION,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/CREDIT/CREDIT_RESPONSE/PARTIES,Container,PARTIES,CREDIT_RESPONSE,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/FLOOD/FLOOD_RESPONSE/LOANS/LOAN/CLOSING_INFORMATION/CLOSING_INSTRUCTION/POST_CLOSING/DOCUMENT_RETURN_INSTRUCTIONS/DOCUMENT_RETURN_INSTRUCTION/PARTIES,Container,PARTIES,DOCUMENT_RETURN_INSTRUCTION,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/FLOOD/FLOOD_RESPONSE/PARTIES,Container,PARTIES,FLOOD_RESPONSE,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/MI/MI_APPLICATION_RESPONSE/PARTIES,Container,PARTIES,MI_APPLICATION_RESPONSE,PARTIES
/MESSAGE/DEAL_SETS/DEAL_SET/DEALS/DEAL/SERVICES/SERVICE/MI/MI_VALIDATION_RESPONSE/PARTIES,Container,PARTIES,MI_VALIDATION_RESPONSE,PARTIES
