xpath,endpoint_type,schema_defined_type,container,endpoint
/BORROWER/ADVERSE_ACTION,Container,ADVERSE_ACTION,BORROWER,ADVERSE_ACTION
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL,Container,ADVERSE_ACTION_DETAIL,ADVERSE_ACTION,ADVERSE_ACTION_DETAIL
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionCreditRepositoryDecisionIndicator,DataPoint,MISMOIndicator,ADVERSE_ACTION_DETAIL,AdverseActionCreditRepositoryDecisionIndicator
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionDate,DataPoint,MISMODate,ADVERSE_ACTION_DETAIL,AdverseActionDate
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionDecisionSourceType,Enumeration,AdverseActionDecisionSourceEnum,ADVERSE_ACTION_DETAIL,AdverseActionDecisionSourceType
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionDecisionSourceTypeOtherDescription,DataPoint,MISMOString,ADVERSE_ACTION_DETAIL,AdverseActionDecisionSourceTypeOtherDescription
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionNonCreditRepositoryDecisionIndicator,DataPoint,MISMOIndicator,ADVERSE_ACTION_DETAIL,AdverseActionNonCreditRepositoryDecisionIndicator
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionNoticeSentDate,DataPoint,MISMODate,ADVERSE_ACTION_DETAIL,AdverseActionNoticeSentDate
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionRequestedCreditDescription,DataPoint,MISMOString,ADVERSE_ACTION_DETAIL,AdverseActionRequestedCreditDescription
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionType,Enumeration,AdverseActionEnum,ADVERSE_ACTION_DETAIL,AdverseActionType
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/AdverseActionTypeOtherDescription,DataPoint,MISMOString,ADVERSE_ACTION_DETAIL,AdverseActionTypeOtherDescription
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/CreditRepositorySourceType,Enumeration,CreditRepositorySourceEnum,ADVERSE_ACTION_DETAIL,CreditRepositorySourceType
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/CreditRepositorySourceTypeOtherDescription,DataPoint,MISMOString,ADVERSE_ACTION_DETAIL,CreditRepositorySourceTypeOtherDescription
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/CreditScoreConsideredInDecisionIndicator,DataPoint,MISMOIndicator,ADVERSE_ACTION_DETAIL,CreditScoreConsideredInDecisionIndicator
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/DeliveryMethodType,Enumeration,DeliveryMethodEnum,ADVERSE_ACTION_DETAIL,DeliveryMethodType
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/DeliveryMethodTypeOtherDescription,DataPoint,MISMOString,ADVERSE_ACTION_DETAIL,DeliveryMethodTypeOtherDescription
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/EXTENSION,Container,ADVERSE_ACTION_DETAIL_EXTENSION,ADVERSE_ACTION_DETAIL,EXTENSION
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/ADVERSE_ACTION/ADVERSE_ACTION_DETAIL/EXTENSION/OTHER,Container,ADVERSE_ACTION_DETAIL_OTHER_BASE,EXTENSION,OTHER
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS,Container,CREDIT_DENIAL_REASONS,ADVERSE_ACTION,CREDIT_DENIAL_REASONS
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/CREDIT_DENIAL_REASON,Container,CREDIT_DENIAL_REASON,CREDIT_DENIAL_REASONS,CREDIT_DENIAL_REASON
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/CREDIT_DENIAL_REASON/CreditDenialReasonType,Enumeration,CreditDenialReasonEnum,CREDIT_DENIAL_REASON,CreditDenialReasonType
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/CREDIT_DENIAL_REASON/CreditDenialReasonTypeOtherDescription,DataPoint,MISMOString,CREDIT_DENIAL_REASON,CreditDenialReasonTypeOtherDescription
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/CREDIT_DENIAL_REASON/EXTENSION,Container,CREDIT_DENIAL_REASON_EXTENSION,CREDIT_DENIAL_REASON,EXTENSION
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/CREDIT_DENIAL_REASON/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/CREDIT_DENIAL_REASON/EXTENSION/OTHER,Container,CREDIT_DENIAL_REASON_OTHER_BASE,EXTENSION,OTHER
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/EXTENSION,Container,CREDIT_DENIAL_REASONS_EXTENSION,CREDIT_DENIAL_REASONS,EXTENSION
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/ADVERSE_ACTION/CREDIT_DENIAL_REASONS/EXTENSION/OTHER,Container,CREDIT_DENIAL_REASONS_OTHER_BASE,EXTENSION,OTHER
/BORROWER/ADVERSE_ACTION/EXTENSION,Container,ADVERSE_ACTION_EXTENSION,ADVERSE_ACTION,EXTENSION
